X GSM2855452 GSM2855453 GSM2855454 GSM2855455 GSM2855456 GSM2855457
1 ENSG00000000003 4401.6847 3497.7529 3687.5368 3843.9036 3801.5887 3920.4093
2 ENSG00000000005 41.0001 19 25 1 0 0
3 ENSG00000000419 1390.9987 1438.9982 1401.9977 714.999 763.9995 797.9987
4 ENSG00000000457 363.5912 314.9 320.2207 316.5752 342.5403 441.4333
5 ENSG00000000460 1148.3986 1002.0459 893.7409 362.6251 287.476 285.0916
6 ENSG00000000938 2 7 7 0 0 0
7 ENSG00000000971 7 5 7 1 2 0
8 ENSG00000001036 1456.9989 1378.066 1552.1756 1704.9999 1455.9991 1479.0007
9 ENSG00000001084 1622.5869 1676.0406 1679.0355 560.214 577.355 646.5622
10 ENSG00000001167 1254.0011 1213 1142.0018 1161.0018 1218.9984 1283.001
11 ENSG00000001460 304.1641 317.936 290.6356 171.7261 168.7471 160.3342
12 ENSG00000001461 474.5863 384.0233 433.5148 1572.7389 1724.9243 1819.0042
13 ENSG00000001497 2603.0006 2518.9991 2515.9989 609.9989 538.9998 630.0006
14 ENSG00000001561 315.0003 211.9998 204.0003 158.0001 194.9999 188
15 ENSG00000001617 670.0002 398.9999 634 762 506.9999 714.0002
16 ENSG00000001626 676.0001 153.0001 322.0003 76 72 62.8785
17 ENSG00000001629 2016 1604.0043 1612.0016 1955.0014 1942.3999 2065.9979
18 ENSG00000001630 1450.1725 1237.584 1309.5957 1968.7774 2396.4236 2417.5063
19 ENSG00000001631 1352.1191 1151.6485 1156.009 700.501 671.2466 759.292
20 ENSG00000002016 443.9428 358.3024 392.7295 242.2062 191.2141 202.5518
21 ENSG00000002330 270.8628 340.9499 356.0004 338.9999 263.0001 274.0002
22 ENSG00000002549 1354.9775 1603.9291 1354.9792 658.9999 769.9998 793.9992
23 ENSG00000002586 1889.998 1280.9987 1417.9987 7286.995 6136.0022 6358.9996
24 ENSG00000002587 32.0548 31.2435 21.085 205.4812 248.2243 362.7944
