X GSM2454244 GSM2454245 GSM2454246 GSM2454247 GSM2454248 GSM2454249 GSM2454250 GSM2454251
1 ENSG00000000003 34.961 38.887 94.1938 24.1111 82.0505 73.7131 31.3593 29.2769
2 ENSG00000000005 0 0 1.8715 0 0 0 0 0
3 ENSG00000000419 163.6596 101.628 614.4721 164.7087 373.3562 347.3048 219.0402 153.3575
4 ENSG00000000457 28.3216 14.3473 53.6328 27.7981 54.9697 35.7055 20.3815 14.6049
5 ENSG00000000460 43.7513 35.0829 130.3391 31.2826 66.9791 74.4 32.928 36.5734
6 ENSG00000000938 1.2233 3.3181 1.2165 0.5684 2.0724 4.1697 0 0
7 ENSG00000000971 36.9547 18.9481 43.0718 28.667 32.6695 32.8071 14.0664 13.9112
8 ENSG00000001036 48.8609 33.6627 68.0206 26.4982 62.8127 77.4568 15.4456 21.1699
9 ENSG00000001084 15.0696 15.1802 24.1403 22.4224 20.0009 27.0799 15.4478 10.6518
10 ENSG00000001167 27.2115 21.8656 49.2842 28.5605 42.652 36.2336 25.9541 13.8596
11 ENSG00000001460 22.401 22.1335 59.9832 12.506 36.7634 35.2706 6.5566 8.8621
12 ENSG00000001461 59.5209 21.0224 90.1281 32.1819 82.1102 57.0178 27.9071 30.7712
13 ENSG00000001497 28.462 16.0514 57.0664 20.4669 25.1651 77.9644 18.4067 18.0411
14 ENSG00000001561 14.1155 6.6739 40.2367 11.4571 23.7638 15.3002 16.7328 10.193
15 ENSG00000001617 4.8263 2.1752 6.4455 5.7743 4.4653 12.79 5.7196 0
16 ENSG00000001626 0 5.3313 0.8049 0 0 7.9304 14.2437 7.088
17 ENSG00000001629 39.9708 48.5419 79.5353 20.6926 74.1652 72.7633 16.1179 35.175
18 ENSG00000001630 59.3407 50.8427 143.8199 48.6029 132.5514 116.8263 43.3615 37.3494
19 ENSG00000001631 64.9787 23.2579 74.1239 18.8009 90.1956 93.833 27.8701 19.1188
20 ENSG00000002016 5.3312 3.1629 20.6582 9.1247 10.9997 9.6828 7.3815 11.3063
21 ENSG00000002330 5.9 11.9832 29.3351 5.1308 12.1019 8.5139 3.5683 0
22 ENSG00000002549 128.9342 76.8422 269.0087 69.6927 160.1505 189.596 76.9348 64.2277
23 ENSG00000002586 87.3436 57.3932 111.8365 13.8844 141.7963 155.4435 34.7306 29.472
24 ENSG00000002587 10.0851 4.6194 5.3744 2.6796 7.4755 15.3752 38.5508 2.6007
25 ENSG00000002726 0 1.9796 1.4427 0.63 1.9692 3.9621 0 1.3587
26 ENSG00000002745 5.3321 9.7242 24.3899 8.6559 12.9267 16.2553 2.107 7.3508
27 ENSG00000002746 16.3378 0.8717 13.9772 7.7868 5.5901 24.0345 9.2583 8.6691
28 ENSG00000002822 6.6332 1.362 28.5865 5.9944 5.5257 15.16 1.7287 2.6474
29 ENSG00000002834 114.9475 85.948 173.0402 36.1692 179.1442 210.4192 51.0121 32.3022
30 ENSG00000002919 14.3339 22.7965 58.4637 30.6901 32.6212 29.6369 22.9406 18.1913
31 ENSG00000002933 8.0684 4.0873 3.3243 0 4.3921 4.9174 0.6504 0.4761
32 ENSG00000003056 151.8341 114.9386 503.2729 108.1692 219.3042 241.09 134.6045 135.3213
